#{"t_start": 1756475622.2375114, "env_id": null}
r,l,t
608.0,94,8.545984
1345.0,128,9.418651
1329.0,148,9.888397
1580.0,160,10.163659
1704.0,184,10.71319
1340.0,190,10.850823
1421.0,197,11.00142
631.0,81,11.266711
1693.0,235,11.838184
1440.0,141,11.838184
617.0,78,13.767027
1436.0,153,14.393353
1706.0,181,14.49907
1704.0,166,15.117418
1700.0,221,15.282975
1862.0,192,15.601124
1852.0,220,16.722127
1847.0,219,17.341472
1349.0,142,18.036614
1058.0,115,18.052571
1707.0,173,18.702833
1344.0,157,18.971116
1349.0,153,19.313201
1694.0,224,19.362071
1424.0,143,20.159938
632.0,78,20.809203
612.0,69,20.961794
753.0,126,21.093441
1703.0,186,21.77861
628.0,77,22.762979
1842.0,204,22.924547
1702.0,194,23.966762
1425.0,224,24.043555
1706.0,177,24.413566
737.0,73,24.713764
1861.0,168,24.827461
597.0,91,24.981049
1325.0,169,25.131647
1341.0,172,25.969408
735.0,84,26.828112
1350.0,136,27.329771
1442.0,147,27.648917
1694.0,163,28.360017
1343.0,171,29.075105
1331.0,143,29.330424
1345.0,194,29.696444
1574.0,210,29.799169
1710.0,187,31.231341
614.0,70,31.43779
1864.0,190,31.764915
1426.0,198,32.334392
1868.0,173,32.495961
1703.0,161,32.984655
1428.0,135,33.157193
812.0,156,33.157193
1351.0,129,34.595348
1441.0,148,34.805786
1357.0,129,35.594677
1703.0,181,36.212026
1589.0,150,36.565083
639.0,144,36.594005
652.0,77,36.647861
1327.0,147,36.673792
1697.0,191,36.97399
1709.0,166,38.680428
1041.0,164,39.611938
1440.0,141,39.636871
1351.0,124,39.636871
1351.0,125,39.697709
722.0,129,40.054754
1437.0,161,40.414791
1422.0,171,40.731944
1711.0,159,43.293097
1348.0,143,43.390835
1325.0,166,43.431727
1028.0,210,43.511514
1348.0,135,43.944357
1438.0,152,44.024143
759.0,197,44.25353
1856.0,197,44.32434
648.0,96,45.565024
1058.0,105,46.35192
1704.0,162,47.232566
1067.0,142,47.317339
1052.0,136,47.394134
1586.0,182,47.699318
1700.0,158,48.010486
653.0,72,48.103238
1858.0,222,48.736546
1345.0,155,49.206289
636.0,79,49.25117
628.0,85,50.750163
1697.0,159,51.06931
1698.0,166,51.152088
1437.0,142,51.302686
1419.0,167,51.938985
1864.0,192,52.126483
1342.0,166,53.037049
1866.0,216,54.412373
1348.0,144,54.528063
1705.0,164,54.667691
1701.0,167,55.411701
764.0,136,164.923949
1588.0,162,165.361779
248.0,30,165.499412
1917.0,230,166.11676
1347.0,149,166.158648
652.0,77,166.721145
1583.0,151,167.488095
1348.0,148,167.540954
1347.0,147,167.651658
1344.0,160,169.297259
1438.0,176,169.548587
1433.0,165,170.077173
1699.0,170,170.240736
1331.0,158,170.525974
1700.0,158,171.16327
653.0,72,171.21214
1438.0,169,171.480422
1856.0,209,172.498701
1582.0,174,174.24204
1336.0,205,174.24204
1704.0,184,174.6689
1709.0,158,175.097753
1689.0,229,176.123011
1868.0,190,176.192825
1697.0,197,177.382644
1333.0,134,177.858373
1321.0,281,178.001989
753.0,159,178.024928
1702.0,186,178.672197
1865.0,178,179.301515
1329.0,161,179.938811
599.0,95,180.300843
1861.0,210,181.128631
1347.0,153,181.635277
1590.0,149,181.731021
1708.0,162,182.66253
1419.0,245,183.269907
1692.0,192,183.914185
1699.0,167,183.970035
1352.0,130,184.677145
650.0,86,184.677145
1350.0,128,184.741972
1703.0,189,185.742297
1852.0,261,186.707717
759.0,124,187.04681
1336.0,134,187.356982
1344.0,166,187.372938
1349.0,137,188.320632
631.0,79,189.45859
1927.0,203,189.886445
1336.0,126,189.909384
1700.0,196,190.673343
1420.0,240,190.762105
1438.0,152,191.185972
251.0,28,191.807311
1866.0,196,191.879119
1706.0,159,192.037695
1048.0,133,192.580245
1331.0,135,193.101851
1427.0,143,193.298326
1351.0,126,193.572593
1864.0,181,194.915004
741.0,111,195.581223
1708.0,162,195.75077
1861.0,203,196.53966
1334.0,206,196.669314
1339.0,182,196.81293
1347.0,154,196.861799
632.0,71,198.291976
1436.0,164,198.76571
1355.0,142,198.96717
1433.0,163,199.612447
1687.0,262,199.671289
612.0,69,200.315567
1039.0,168,200.388372
1327.0,156,200.388372
1329.0,168,200.698543
653.0,72,201.27201
1339.0,123,201.737765
1438.0,168,202.196539
764.0,141,202.819871
1335.0,129,203.357435
1334.0,139,203.525984
1353.0,151,203.896992
1438.0,150,204.235089
740.0,125,205.148647
608.0,100,205.222451
1704.0,208,206.181885
1414.0,197,206.38933
1348.0,131,207.005682
1709.0,160,207.161266
1698.0,167,207.482408
1351.0,129,208.186526
1345.0,149,208.700153
1571.0,199,208.902611
1433.0,155,210.027604
1692.0,199,211.714095
1698.0,185,211.879654
1710.0,159,211.927525
1703.0,208,212.074133
1348.0,144,212.296538
1844.0,264,212.380315
1338.0,188,213.13031
625.0,69,213.344737
619.0,76,321.159524
1577.0,186,321.876606
1430.0,139,323.00459
1424.0,157,323.214031
810.0,169,323.892218
1696.0,165,324.791813
1853.0,235,324.99128
1345.0,132,325.122927
1323.0,199,325.384229
653.0,72,325.638549
1433.0,151,327.000908
1844.0,287,328.131884
1438.0,159,328.60861
1571.0,235,328.795111
1434.0,168,329.054418
1585.0,174,329.359602
1440.0,164,329.403485
1430.0,161,329.58101
1427.0,148,330.581336
650.0,90,331.03612
653.0,72,331.171758
252.0,31,331.346291
1436.0,132,331.36923
1043.0,150,332.263838
1350.0,140,332.447347
625.0,80,332.946014
650.0,85,333.344949
1697.0,166,333.344949
730.0,170,333.673071
1053.0,140,334.706309
1851.0,191,335.840278
814.0,149,336.121525
1349.0,142,336.802704
1866.0,193,336.934352
1704.0,183,337.297382
1327.0,165,337.297382
653.0,73,337.460945
1707.0,160,337.506822
1349.0,145,338.167058
749.0,115,340.030077
1696.0,172,340.106872
1712.0,177,340.995496
1345.0,152,341.1062
249.0,31,341.682659
1589.0,149,341.683656
1864.0,198,341.981859
1030.0,222,342.134451
596.0,92,342.237177
1048.0,123,342.953262
1853.0,246,343.339231
626.0,82,343.972539
1704.0,197,345.76774
1694.0,182,346.06295
602.0,89,346.1188
1698.0,186,346.172657
1347.0,150,346.584555
1347.0,153,347.031361
1428.0,201,347.100178
1694.0,225,347.530029
624.0,81,347.945916
629.0,79,348.37078
814.0,150,349.568579
1343.0,175,349.87875
1442.0,136,350.26771
1693.0,195,351.47947
724.0,137,351.500414
745.0,182,351.688911
1332.0,136,352.74409
1346.0,146,353.236772
1678.0,309,353.294618
1685.0,245,353.578858
