#{"t_start": 1756606264.6511467, "env_id": null}
r,l,t
610.0,66,3.842874
653.0,71,3.973525
651.0,85,4.353509
606.0,90,4.472192
1049.0,122,5.23216
1350.0,137,5.550309
607.0,72,5.574246
250.0,30,5.881425
1047.0,126,6.861803
1321.0,197,6.861803
1335.0,199,6.91167
248.0,30,7.556946
1333.0,147,7.777356
250.0,30,8.455543
817.0,135,8.578216
1041.0,162,9.204541
652.0,77,9.290311
1856.0,240,9.811917
250.0,30,9.933592
250.0,30,10.049283
1045.0,142,10.179933
624.0,73,10.202873
635.0,80,10.47315
248.0,30,10.534984
250.0,30,10.636713
250.0,30,10.717497
1335.0,227,11.059582
237.0,35,11.436574
1053.0,208,11.707849
624.0,73,11.842489
612.0,95,12.898666
613.0,90,13.114089
601.0,77,13.174927
1048.0,123,13.316549
623.0,68,13.386362
250.0,30,13.56289
618.0,72,15.072854
1696.0,206,15.200513
1314.0,228,15.431894
1038.0,174,15.817863
1049.0,116,15.928566
755.0,117,16.03927
1072.0,123,16.348445
250.0,30,16.683548
637.0,81,17.230087
250.0,30,17.368716
250.0,30,17.918247
1314.0,226,19.025289
1344.0,134,19.23373
610.0,61,19.386323
1039.0,171,19.580804
816.0,139,19.631667
1437.0,179,20.145295
248.0,28,20.345758
250.0,30,20.900276
1062.0,152,21.087774
1417.0,246,21.140633
624.0,77,21.556522
1050.0,117,21.981385
250.0,30,22.292554
746.0,120,22.39528
624.0,65,22.513962
638.0,80,23.03856
1065.0,163,23.18816
610.0,61,23.888288
652.0,77,24.163553
1040.0,168,24.398924
632.0,75,24.858694
630.0,77,25.082096
733.0,144,25.706427
250.0,30,25.795191
1040.0,165,25.877969
1033.0,202,25.920855
638.0,81,26.208087
250.0,30,26.54718
617.0,94,26.709745
1049.0,124,26.939132
250.0,30,27.246312
1052.0,108,27.475698
629.0,82,27.713064
250.0,30,28.448099
619.0,94,28.467048
651.0,81,28.692445
652.0,78,29.187123
250.0,30,29.187123
1044.0,144,30.679135
1321.0,189,30.728004
1033.0,203,31.08505
624.0,86,31.441097
1047.0,129,31.752266
638.0,74,32.369616
1047.0,130,32.437434
250.0,30,32.437434
652.0,77,32.481317
610.0,61,32.829387
1702.0,217,32.854321
250.0,30,33.177456
610.0,61,33.908502
1861.0,213,33.949393
620.0,81,34.745265
1329.0,158,34.762219
653.0,71,34.804108
611.0,69,35.457361
